POI_Name,URL
Greater Ridgewood Historical Society,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npL9m2vMzd7Y_SGjUcWQMbI7Hiu5F789Y25PeTiRiPdnDtOyyYzosNvu4q0NdllEN5qmu8daNXq8l84sxnkgrboqBSWZgdgAc1rwmeNIYnWWL93TBeMGYRRly-2wWKB7-F2eIc1dQ=s1360-w1360-h1020
Nicholas Roerich Museum,https://lh3.googleusercontent.com/p/AF1QipOtbIo84dzq5cELvfgFDXMd3x2UOvMb_NaBJhjS=s1360-w1360-h1020
The National Jazz Museum In Harlem,https://lh3.googleusercontent.com/p/AF1QipN_sZyp30dRr2PhLZa-_gnv1smlR1NSiaYaOtM6=s1360-w1360-h1020
Hamilton Grange National Memorial,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqGFdZuGytWrmR7lL1Avmz2YLQOb-AOeM0TP3l9ashG-_fOqMkwsQzLzZZaQTV-3X90aTVv4DH5_gQLCO3wjYPzGanfZTAUYf9ZHPIR4-d1_roCYzMZUKZewLCmOu8Y5WcSs0MD=s1360-w1360-h1020
Bronx Documentary Center,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noR_cGuoYrAWpD0FFgKTb1PWf5xVgKRW--GgJCTq2wxIFzp5ny5VYt3xzV9DGWhaFJGlg1jq_q3w3EdTqZWZ44szcmqgiC7uWl7ywbcycPrJ6g_HK0LqEhbLsBPeq3bj6l84ZaOKZELVMwD=s1360-w1360-h1020
Godwin-Ternbach Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npjdF6ps8sqdR0hRzOskAQdqD1j_NqD8czNMBKo1Yt3Gg5XlLdTyXOHKufBkZGCG0GcX9ixR1pJq-b5ln2_5Yd_zsLbQaajFv2eufzFnVKjpfsvbLrxxBZnEv-r1HxzoCYGsRqOkw=s1360-w1360-h1020
National Museum Of The American Indian,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4t1vLznT5tHaDPIBVcsbK9aZnK0Mgzb_-3ZUIadLavCOT2Uw5PAPzouazaEMbCuNVrRLNTzKhI5lfoJsDfPS8U-IIa8-ltkqOFQgN8giRaaW4QvJJqn-JISNax-QIjhV9F5s=s1360-w1360-h1020
Fraunces Tavern,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwmfTRwqCXeDrNexmEojIIJTAzBcgV7BQLy_E6fbbPITjYY_zckWYl_4LKx9t_svN1FpFDHniC5eVckab75xZ_IpuuG2hdgM7pkopIxII5J1tK2t5EQIQiPJ8uA_DamTeJ1YVw=s1360-w1360-h1020
9/11 Memorial & Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqh_LQKFO9hZjKj4qgbi7QvixeaVifVmhpurbzDOksuw4uVbM10J0D6QgQAL9_YbEHnAHwLpYulVPotKx3eWbkqe8u7H79O_BpaZgDMXopVGUinrqr1M2JJWvjUBTlU8eB-HcEwqEaADnM=s1360-w1360-h1020
Museum Of American Finance,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/cf/5d/43/museum-of-american-finance.jpg?w=1800&h=-1&s=1
Mercer Labs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqWEUo0Q3aC_660CD_b9bXBvsmbged0rwWRhGMtcngNLM1JVjETOJUDoGfInaYA7ruYBzvyNDOdaDhsmfoFnemJu3zh54mfIe7LFNMMlAoZTs-TdfHcxWVCLuinuW0fdmf3pAv-tujeclZH=s1360-w1360-h1020
"Schermerhorn Row, South Street Seaport Museum",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqkbvOvaR0Fvxa0V1IYu5eMS6slCAQFBiYfKq_xQJeXRsaZfmjbEWddiu9sAqrxyGn2gfNt9z3bnUkwaUUdckd5PB7Bgalj2KXIoM4dUaonA7tRAz20alGzFI_Do_qpCR3YE3Vn=s1360-w1360-h1020
Hall des Lumieres,https://lh3.googleusercontent.com/p/AF1QipOqUS9r6a1e_Sf6nEV3cJwYnRM30LlCh4_pqXfz=s1360-w1360-h1020
Dream House,
Mmuseumm,https://lh3.googleusercontent.com/p/AF1QipPnbn8SsJXsk7wtacntB7UwK7eOQ8Pe8Szqz0p0=s1360-w1360-h1020
Jackie Robinson Museum,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npWJWzVULUg6Mkd1mzE4j47TnZE_Whm4Lbd2nWtL6Z2O5tHgmBOMzoEuqpX0kVjaw9LXg9GknuXNNAjz-iupusfS_68MDVc7-JVyHaDnKuA33o-Dj25Ep5WMyumuKxpcH67kaE=s1360-w1360-h1020
