timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751382027495,11,GET Travel Plans,200,,Thread Group 1-12,text,true,,932,268,7,7,http://137.43.49.25:443/api/userplans,11,0,0
1751382027485,23,POST Travel Plans,201,,Thread Group 1-7,text,true,,1048,979,7,7,http://137.43.49.25:443/api/userplans/multiple,23,0,0
1751382027454,79,GET Weather,200,,Thread Group 1-11,text,true,,18980,163,7,7,http://137.43.49.25:443/api/weather?latitude=40.728&longitude=-73.999,79,0,0
1751382027507,32,PUT Travel Plan,200,,Thread Group 1-12,text,true,,632,462,7,7,http://137.43.49.25:443/api/userplans/3745,32,0,0
1751382027508,31,Delete Museum Travel Plan,204,,Thread Group 1-7,,true,,393,295,7,7,http://137.43.49.25:443/api/userplans/3747,0,0,0
1751382027037,530,GET List of Recommendations,200,,Thread Group 1-6,text,true,,1217,1360,7,7,http://137.43.49.25:443/api/pois/recommendation,530,0,0
1751382027402,165,Post Login,200,,Thread Group 1-9,,true,,490,233,7,7,http://137.43.49.25:443/api/login,165,0,0
1751382027471,135,GET Park Recommendations,200,,Thread Group 1-8,text,true,,245636,349,7,7,http://137.43.49.25:443/api/pois?poiTypeName=park&dateTime=2025-07-13T11:00:00.779042Z&limit=1000&transitType=walk&latitude=40.69913810666333&longitude=-74.03949152484903,48,0,0
1751382027539,102,Delete Parts of Travel Plan,204,,Thread Group 1-7,,true,,393,303,7,7,http://137.43.49.25:443/api/userplans,0,0,0
1751382027567,74,GET CSRF Token,200,,Thread Group 1-9,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,74,0,0
1751382027534,107,GET Zone Busyness,200,,Thread Group 1-11,text,true,,487,185,7,7,http://137.43.49.25:443/api/zones/114?predictedHours=3&dateTime=2025-07-13T09:00:00.000000Z,107,0,0
1751382027539,102,Post Logout,200,,Thread Group 1-12,,true,,498,317,7,7,http://137.43.49.25:443/api/logout,102,0,0
1751382027606,35,POST Park Travel Plan,201,,Thread Group 1-8,text,true,,632,483,7,7,http://137.43.49.25:443/api/userplans,35,0,0
1751382027494,147,GET Park Recommendations,200,,Thread Group 1-10,text,true,,245636,349,7,7,http://137.43.49.25:443/api/pois?poiTypeName=park&dateTime=2025-07-13T11:00:00.779042Z&limit=1000&transitType=walk&latitude=40.69913810666333&longitude=-74.03949152484903,45,0,0
1751382027567,76,POST Travel Plans,201,,Thread Group 1-6,text,true,,1048,979,7,7,http://137.43.49.25:443/api/userplans/multiple,76,0,0
1751382027643,24,Delete Museum Travel Plan,204,,Thread Group 1-6,,true,,393,295,7,7,http://137.43.49.25:443/api/userplans/3746,0,0,0
1751382027641,26,GET Travel Plans,200,,Thread Group 1-7,text,true,,932,268,7,7,http://137.43.49.25:443/api/userplans,26,0,0
1751382027641,27,POST Park Travel Plan,201,,Thread Group 1-10,text,true,,632,483,7,7,http://137.43.49.25:443/api/userplans,27,0,0
1751382027641,33,Post User Picture,201,,Thread Group 1-9,text,true,,578,9356,7,7,http://137.43.49.25:443/api/user/picture,33,0,0
1751382027668,11,PUT Travel Plan,200,,Thread Group 1-7,text,true,,632,462,7,7,http://137.43.49.25:443/api/userplans/3753,11,0,0
